stage_ft,Q_cfs,site_no,type
9.25,270967.6,07374000,model
9.26,271183.93,07374000,model
9.27,271400.25,07374000,model
9.28,271616.57,07374000,model
9.29,271832.89,07374000,model
9.3,272049.21,07374000,model
9.31,272265.52,07374000,model
9.32,272481.82,07374000,model
9.33,272698.12,07374000,model
9.34,272914.42,07374000,model
9.35,273130.72,07374000,model
9.36,273347.01,07374000,model
9.37,273563.3,07374000,model
9.38,273779.58,07374000,model
9.39,273995.86,07374000,model
9.4,274212.13,07374000,model
9.41,274428.4,07374000,model
9.42,274644.67,07374000,model
9.43,274860.94,07374000,model
9.44,275077.2,07374000,model
9.45,275293.45,07374000,model
9.46,275509.7,07374000,model
9.47,275725.95,07374000,model
9.48,275942.2,07374000,model
9.49,276158.44,07374000,model
9.5,276374.68,07374000,model
9.51,276590.91,07374000,model
9.52,276807.14,07374000,model
9.53,277023.36,07374000,model
9.54,277239.59,07374000,model
9.55,277455.8,07374000,model
9.56,277672.02,07374000,model
9.57,277888.23,07374000,model
9.58,278104.44,07374000,model
9.59,278320.64,07374000,model
9.6,278536.84,07374000,model
9.61,278753.03,07374000,model
9.62,278969.23,07374000,model
9.63,279185.41,07374000,model
9.64,279401.6,07374000,model
9.65,279617.78,07374000,model
9.66,279833.95,07374000,model
9.67,280050.13,07374000,model
9.68,280266.3,07374000,model
9.69,280482.46,07374000,model
9.7,280698.62,07374000,model
9.71,280914.78,07374000,model
9.72,281130.94,07374000,model
9.73,281347.09,07374000,model
9.74,281563.23,07374000,model
9.75,281779.38,07374000,model
9.76,281995.51,07374000,model
9.77,282211.65,07374000,model
9.78,282427.78,07374000,model
9.79,282643.91,07374000,model
9.8,282860.03,07374000,model
9.81,283076.15,07374000,model
9.82,283292.27,07374000,model
9.83,283508.38,07374000,model
9.84,283724.49,07374000,model
9.85,283940.6,07374000,model
9.86,284156.7,07374000,model
9.87,284372.8,07374000,model
9.88,284588.89,07374000,model
9.89,284804.99,07374000,model
9.9,285021.07,07374000,model
9.91,285237.16,07374000,model
9.92,285453.24,07374000,model
9.93,285669.31,07374000,model
9.94,285885.39,07374000,model
9.95,286101.45,07374000,model
9.96,286317.52,07374000,model
9.97,286533.58,07374000,model
9.98,286749.64,07374000,model
9.99,286965.69,07374000,model
10,287181.74,07374000,model
10.01,287397.79,07374000,model
10.02,287613.83,07374000,model
10.03,287829.87,07374000,model
